journal_entry_id,posting_date,prepared_by,entry_date,description
1527909,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527915,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1527916,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1527917,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1527918,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1527919,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1527920,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527921,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527922,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527923,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527924,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527925,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527926,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527927,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527928,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527929,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527930,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527931,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527932,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527933,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527934,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527935,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527936,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527937,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527938,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527939,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527940,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527941,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527942,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527943,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527944,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527945,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527946,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527947,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527948,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527949,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527950,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527951,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527952,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527953,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527954,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527955,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527956,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527957,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527958,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527959,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527960,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527961,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527962,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527963,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527964,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527965,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527966,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527967,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527968,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527969,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527970,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527971,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527972,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527973,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527974,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527975,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527976,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527977,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527978,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527979,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527980,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527981,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527982,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527983,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527984,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527985,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527986,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527987,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527988,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527989,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527990,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527991,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527992,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527993,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527994,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527995,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527996,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527997,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1527998,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1527999,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528000,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528001,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528002,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528003,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528004,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528005,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528006,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528007,2024-01-02,TREPAT-TS2\DRESPFACTURACION,2024-01-02,
1528008,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528009,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528010,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528011,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528012,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528013,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528014,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528015,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528016,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528017,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528018,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528019,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528020,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528021,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528022,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528023,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528024,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528025,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528026,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528027,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528028,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528029,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528030,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528031,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528032,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528033,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528034,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528035,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528036,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528037,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528038,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528039,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528040,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528041,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528042,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528043,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528044,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528045,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528046,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528047,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528048,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528049,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528050,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528051,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528052,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528053,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528054,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528055,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528056,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528057,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528058,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528059,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528060,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528061,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528062,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528063,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528064,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528065,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528066,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528067,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528068,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528069,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528070,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528071,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528072,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528073,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528074,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528075,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528076,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528077,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528078,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528079,2024-01-02,TREPAT-TS2\DMARIBELR,2024-01-02,
1528080,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528081,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528082,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528083,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528084,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528085,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528086,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528087,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528088,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528089,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528090,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528091,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528092,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528093,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528094,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528095,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528096,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528097,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528098,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528099,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528100,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528101,2024-01-02,TREPAT-TS2\DTONYI,2024-01-02,
1528102,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528103,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528104,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528105,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528106,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528107,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528108,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528109,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528110,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528111,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528112,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528113,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528114,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528115,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528116,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528117,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528118,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528119,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528120,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528121,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528122,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528123,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528124,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528125,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528126,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528127,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528128,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528129,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528130,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528131,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528132,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528133,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528134,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528135,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528136,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528137,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528138,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528139,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528140,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528141,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528142,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
1528143,2024-01-02,TREPAT-TS2\ADMINTD,2024-01-02,
