journal_entry_id,posting_date,prepared_by
4554,01/03/2024,MEE-DOMAIN\BEGO.ALONSO
6270,01/09/2024,MEE-DOMAIN\BEGO.ALONSO
9057,01/01/2024,MEE-DOMAIN\BEGO.ALONSO
10116,01/09/2024,MEE-DOMAIN\BEGO.ALONSO
10117,01/03/2024,MEE-DOMAIN\BEGO.ALONSO
10118,01/07/2024,MEE-DOMAIN\BEGO.ALONSO
11339,02/01/2024,MEE-DOMAIN\MUKESH.KUMAR
11340,02/01/2024,MEE-DOMAIN\LYNN.LING
11341,02/01/2024,MEE-DOMAIN\LYNN.LING
11342,02/01/2024,MEE-DOMAIN\LYNN.LING
11617,03/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11618,03/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11621,03/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11622,03/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11623,03/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11778,05/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11790,02/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11792,02/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11794,02/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11796,02/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11808,09/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11811,10/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11812,02/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11813,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11814,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11815,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11816,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11817,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11818,05/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11819,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11820,08/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11821,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11822,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11823,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11824,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11825,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11826,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11827,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11828,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11829,10/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11833,11/01/2024,MEE-DOMAIN\LYNN.LING
11834,11/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11835,11/01/2024,MEE-DOMAIN\BEGO.ALONSO
11836,11/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11837,11/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11838,11/01/2024,MEE-DOMAIN\MUKESH.KUMAR
11839,11/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11840,11/01/2024,MEE-DOMAIN\YOWANSING.PUTIAR
11841,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11842,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11843,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11844,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11845,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11846,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11847,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11848,15/01/2024,MEE-DOMAIN\BEATRIZ.SANCHEZ
11849,16/01/2024,MEE-DOMAIN\LYNN.LING
11850,10/01/2024,MEE-DOMAIN\LYNN.LING
11851,11/01/2024,MEE-DOMAIN\LYNN.LING
11852,10/01/2024,MEE-DOMAIN\LYNN.LING
11853,02/01/2024,MEE-DOMAIN\LYNN.LING
11854,03/01/2024,MEE-DOMAIN\LYNN.LING
11855,02/01/2024,MEE-DOMAIN\LYNN.LING
11856,04/01/2024,MEE-DOMAIN\LYNN.LING
11857,05/01/2024,MEE-DOMAIN\LYNN.LING
11858,06/01/2024,MEE-DOMAIN\LYNN.LING
11859,04/01/2024,MEE-DOMAIN\LYNN.LING
11860,02/01/2024,MEE-DOMAIN\LYNN.LING
11861,15/01/2024,MEE-DOMAIN\LYNN.LING
11862,16/01/2024,MEE-DOMAIN\LYNN.LING
11863,04/01/2024,MEE-DOMAIN\LYNN.LING
11864,12/01/2024,MEE-DOMAIN\LYNN.LING
11865,15/01/2024,MEE-DOMAIN\LYNN.LING
11866,02/01/2024,MEE-DOMAIN\LYNN.LING
11867,03/01/2024,MEE-DOMAIN\LYNN.LING
11868,05/01/2024,MEE-DOMAIN\LYNN.LING
11869,10/01/2024,MEE-DOMAIN\LYNN.LING
11870,11/01/2024,MEE-DOMAIN\LYNN.LING
11871,12/01/2024,MEE-DOMAIN\LYNN.LING
11872,15/01/2024,MEE-DOMAIN\LYNN.LING
11873,17/01/2024,MEE-DOMAIN\LYNN.LING
11874,05/01/2024,MEE-DOMAIN\LYNN.LING
11875,02/01/2024,MEE-DOMAIN\LYNN.LING
11876,03/01/2024,MEE-DOMAIN\LYNN.LING
11877,04/01/2024,MEE-DOMAIN\LYNN.LING
11878,08/01/2024,MEE-DOMAIN\LYNN.LING
11879,09/01/2024,MEE-DOMAIN\LYNN.LING
11880,10/01/2024,MEE-DOMAIN\LYNN.LING
11881,11/01/2024,MEE-DOMAIN\LYNN.LING
11882,02/01/2024,MEE-DOMAIN\LYNN.LING
11883,04/01/2024,MEE-DOMAIN\LYNN.LING
11884,15/01/2024,MEE-DOMAIN\LYNN.LING
11885,04/01/2024,MEE-DOMAIN\LYNN.LING
11886,03/01/2024,MEE-DOMAIN\LYNN.LING
11887,04/01/2024,MEE-DOMAIN\LYNN.LING
11888,09/01/2024,MEE-DOMAIN\LYNN.LING
11889,10/01/2024,MEE-DOMAIN\LYNN.LING
11890,17/01/2024,MEE-DOMAIN\LYNN.LING
11891,19/01/2024,MEE-DOMAIN\LYNN.LING
11892,03/01/2024,MEE-DOMAIN\LYNN.LING
11893,04/01/2024,MEE-DOMAIN\LYNN.LING
11894,10/01/2024,MEE-DOMAIN\LYNN.LING
11895,17/01/2024,MEE-DOMAIN\LYNN.LING
11896,04/01/2024,MEE-DOMAIN\LYNN.LING
11897,03/01/2024,MEE-DOMAIN\LYNN.LING
11898,10/01/2024,MEE-DOMAIN\LYNN.LING
11899,11/01/2024,MEE-DOMAIN\LYNN.LING
11900,18/01/2024,MEE-DOMAIN\LYNN.LING
11901,02/01/2024,MEE-DOMAIN\LYNN.LING
11902,10/01/2024,MEE-DOMAIN\LYNN.LING
11903,12/01/2024,MEE-DOMAIN\LYNN.LING
11904,17/01/2024,MEE-DOMAIN\LYNN.LING
11905,03/01/2024,MEE-DOMAIN\LYNN.LING
11906,10/01/2024,MEE-DOMAIN\LYNN.LING
11907,18/01/2024,MEE-DOMAIN\LYNN.LING
11908,05/01/2024,MEE-DOMAIN\LYNN.LING
11909,10/01/2024,MEE-DOMAIN\LYNN.LING
11910,02/01/2024,MEE-DOMAIN\LYNN.LING
11911,17/01/2024,MEE-DOMAIN\LYNN.LING
11912,19/01/2024,MEE-DOMAIN\LYNN.LING
11913,03/01/2024,MEE-DOMAIN\LYNN.LING
11914,17/01/2024,MEE-DOMAIN\LYNN.LING
11915,03/01/2024,MEE-DOMAIN\LYNN.LING
11916,12/01/2024,MEE-DOMAIN\LYNN.LING
11917,17/01/2024,MEE-DOMAIN\LYNN.LING
11918,09/01/2024,MEE-DOMAIN\LYNN.LING
11919,10/01/2024,MEE-DOMAIN\LYNN.LING
11920,03/01/2024,MEE-DOMAIN\LYNN.LING
11921,11/01/2024,MEE-DOMAIN\LYNN.LING
11922,03/01/2024,MEE-DOMAIN\LYNN.LING
11923,04/01/2024,MEE-DOMAIN\LYNN.LING
11924,17/01/2024,MEE-DOMAIN\LYNN.LING
11925,03/01/2024,MEE-DOMAIN\LYNN.LING
11926,12/01/2024,MEE-DOMAIN\LYNN.LING
11927,15/01/2024,MEE-DOMAIN\LYNN.LING
11928,03/01/2024,MEE-DOMAIN\LYNN.LING
11929,12/01/2024,MEE-DOMAIN\LYNN.LING
11930,02/01/2024,MEE-DOMAIN\LYNN.LING
11931,03/01/2024,MEE-DOMAIN\LYNN.LING
11932,10/01/2024,MEE-DOMAIN\LYNN.LING
11933,15/01/2024,MEE-DOMAIN\LYNN.LING
11934,03/01/2024,MEE-DOMAIN\LYNN.LING
11935,15/01/2024,MEE-DOMAIN\LYNN.LING
11936,02/01/2024,MEE-DOMAIN\LYNN.LING
11937,03/01/2024,MEE-DOMAIN\LYNN.LING
11938,08/01/2024,MEE-DOMAIN\LYNN.LING
11939,11/01/2024,MEE-DOMAIN\LYNN.LING
11940,12/01/2024,MEE-DOMAIN\LYNN.LING
11941,15/01/2024,MEE-DOMAIN\LYNN.LING
11942,04/01/2024,MEE-DOMAIN\LYNN.LING
11943,02/01/2024,MEE-DOMAIN\LYNN.LING
11944,08/01/2024,MEE-DOMAIN\LYNN.LING
11945,11/01/2024,MEE-DOMAIN\LYNN.LING
11946,12/01/2024,MEE-DOMAIN\LYNN.LING
11947,15/01/2024,MEE-DOMAIN\LYNN.LING
11948,02/01/2024,MEE-DOMAIN\LYNN.LING
11949,03/01/2024,MEE-DOMAIN\LYNN.LING
11950,10/01/2024,MEE-DOMAIN\LYNN.LING
11951,12/01/2024,MEE-DOMAIN\LYNN.LING
11952,15/01/2024,MEE-DOMAIN\LYNN.LING
11953,02/01/2024,MEE-DOMAIN\LYNN.LING
11954,03/01/2024,MEE-DOMAIN\LYNN.LING
11955,05/01/2024,MEE-DOMAIN\LYNN.LING
11956,08/01/2024,MEE-DOMAIN\LYNN.LING
11957,10/01/2024,MEE-DOMAIN\LYNN.LING
11958,11/01/2024,MEE-DOMAIN\LYNN.LING
11959,12/01/2024,MEE-DOMAIN\LYNN.LING
11960,15/01/2024,MEE-DOMAIN\LYNN.LING
11961,03/01/2024,MEE-DOMAIN\LYNN.LING
11962,12/01/2024,MEE-DOMAIN\LYNN.LING
