journal_entry_id,posting_date,prepared_by,entry_date,description
00058634,2024-04-16,TREPAT-TS2\DCONTACLIENTES,2024-04-16,
00490394,2024-04-16,TREPAT-TS2\DCONTACLIENTES,2024-04-16,
03603863,2024-01-05,TREPAT-TS2\DCONTACLIENTES,2024-01-05,
03734573,2024-01-05,TREPAT-TS2\DCONTACLIENTES,2024-01-05,
03752353,2024-01-15,TREPAT-TS2\DCONTACLIENTES,2024-01-15,
03837053,2024-01-11,TREPAT-TS2\DCONTACLIENTES,2024-01-11,
03928093,2024-01-10,TREPAT-TS2\DCONTACLIENTES,2024-01-10,
04081593,2024-01-19,TREPAT-TS2\DCONTACLIENTES,2024-01-19,
04081603,2024-02-05,TREPAT-TS2\DCONTACLIENTES,2024-02-05,
04155643,2024-02-05,TREPAT-TS2\DCONTACLIENTES,2024-02-05,
04264963,2024-02-15,TREPAT-TS2\DCONTACLIENTES,2024-02-15,
04399403,2024-02-09,TREPAT-TS2\DCONTACLIENTES,2024-02-09,
04490933,2024-02-06,TREPAT-TS2\DCONTACLIENTES,2024-02-06,
04490943,2024-03-05,TREPAT-TS2\DCONTACLIENTES,2024-03-05,
04653253,2024-03-05,TREPAT-TS2\DCONTACLIENTES,2024-03-05,
04740153,2024-03-05,TREPAT-TS2\DCONTACLIENTES,2024-03-05,
04778403,2024-03-15,TREPAT-TS2\DCONTACLIENTES,2024-03-15,
04888553,2024-03-15,TREPAT-TS2\DCONTACLIENTES,2024-03-15,
04931223,2024-02-27,TREPAT-TS2\DCONTACLIENTES,2024-02-27,
04931233,2024-03-18,TREPAT-TS2\DCONTACLIENTES,2024-03-18,
04979443,2024-03-04,TREPAT-TS2\DCONTACLIENTES,2024-03-04,
05078073,2024-04-05,TREPAT-TS2\DCONTACLIENTES,2024-04-05,
05111963,2024-04-05,TREPAT-TS2\DCONTACLIENTES,2024-04-05,
05158383,2024-04-15,TREPAT-TS2\DCONTACLIENTES,2024-04-15,
05263423,2024-04-15,TREPAT-TS2\DCONTACLIENTES,2024-04-15,
05263433,2024-02-27,TREPAT-TS2\DCONTACLIENTES,2024-02-27,
05404493,2024-04-10,TREPAT-TS2\DCONTACLIENTES,2024-04-10,
05404503,2024-04-25,TREPAT-TS2\DCONTACLIENTES,2024-04-25,
05494063,2024-04-11,TREPAT-TS2\DCONTACLIENTES,2024-04-11,
05494073,2024-04-26,TREPAT-TS2\DCONTACLIENTES,2024-04-26,
05621913,2024-04-29,TREPAT-TS2\DCONTACLIENTES,2024-04-29,
05746293,2024-04-25,TREPAT-TS2\DCONTACLIENTES,2024-04-25,
0821957-5,2024-03-19,TREPAT-TS2\DCONTACLIENTES,2024-03-19,
102922,2024-01-10,TREPAT-TS2\DCONTACLIENTES,2024-01-10,
104919,2024-04-04,TREPAT-TS2\DCONTACLIENTES,2024-04-04,
105686,2024-04-09,TREPAT-TS2\DCONTACLIENTES,2024-04-09,
106197,2024-03-12,TREPAT-TS2\DCONTACLIENTES,2024-03-12,
107973,2024-04-12,TREPAT-TS2\DCONTACLIENTES,2024-04-12,
109189,2024-04-12,TREPAT-TS2\DCONTACLIENTES,2024-04-12,
109307,2024-04-03,TREPAT-TS2\DCONTACLIENTES,2024-04-03,
109462,2024-03-28,TREPAT-TS2\DCONTACLIENTES,2024-03-28,
110959,2024-02-29,TREPAT-TS2\DCONTACLIENTES,2024-02-29,
2023_12 CURSOS FORMA,2024-01-31,TREPAT-TS2\DNOELIA,2024-01-31,
2023_12 LIQ MOD 111,2024-01-22,TREPAT-TS2\DNOELIA,2024-01-22,
2023_12 LIQ MOD 303,2024-01-30,TREPAT-TS2\DNOELIA,2024-01-30,
2023_12 MOD 592,2024-01-22,TREPAT-TS2\DCRISTINAC,2024-01-22,
2023_4O TRIM MOD 420,2024-01-30,TREPAT-TS2\DNOELIA,2024-01-30,
2024_01 EMB AEAT MG,2024-01-25,TREPAT-TS2\DNOELIA,2024-01-25,
2024_01 LIQ GTOS,2024-01-26,TREPAT-TS2\DBELENM,2024-01-26,
2024_01 LIQ MOD 111,2024-02-20,TREPAT-TS2\DNOELIA,2024-02-20,
2024_01 LIQ MOD 303,2024-01-31,TREPAT-TS2\DNOELIA,2024-01-31,
2024_01 MOD.592,2024-02-20,TREPAT-TS2\DCRISTINAC,2024-02-20,
2024_01 TRANSF SEPE,2024-01-30,TREPAT-TS2\DNOELIA,2024-01-30,
2024_02 ANTICIPO IC,2024-02-27,TREPAT-TS2\DNOELIA,2024-02-27,
2024_02 CURSO FORMAC,2024-03-27,TREPAT-TS2\DNOELIA,2024-03-27,
2024_02 EMB AEAT MG,2024-02-22,TREPAT-TS2\DNOELIA,2024-02-22,
2024_02 LIQ GTOS,2024-02-27,TREPAT-TS2\DNOELIA,2024-02-27,
2024_02 LIQ GTOS JM,2024-02-27,TREPAT-TS2\DNOELIA,2024-02-27,
2024_02 LIQ MOD 111,2024-03-20,TREPAT-TS2\DNOELIA,2024-03-20,
2024_02 LIQ MOD 303,2024-02-29,TREPAT-TS2\DNOELIA,2024-02-29,
2024_02 MOD 592,2024-03-20,TREPAT-TS2\DCRISTINAC,2024-03-20,
2024_03 CURSO FORMAC,2024-04-01,TREPAT-TS2\DNOELIA,2024-04-01,
2024_03 EMB AEAT,2024-03-15,TREPAT-TS2\DNOELIA,2024-03-15,
2024_03 LIQ GTOS,2024-03-27,TREPAT-TS2\DBELENM,2024-03-27,
2024_03 LIQ GTOS IC,2024-03-27,TREPAT-TS2\DNOELIA,2024-03-27,
2024_03 LIQ MOD 111,2024-04-22,TREPAT-TS2\DNOELIA,2024-04-22,
