journal_entry_id,journal_id,entry_date,entry_time,posting_date,reversal_date,effective_date,description,reference_number,source,entry_type,recurring_entry,manual_entry,adjustment_entry,prepared_by,approved_by,approval_date,entry_status,total_debit_amount,total_credit_amount,line_count,fiscal_year,period_number,user_defined_01,user_defined_02,user_defined_03
8626,,,,2024-01-06,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8627,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8628,,,,2024-01-08,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8628,,,,2024-01-08,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8628,,,,2024-01-08,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8628,,,,2024-01-08,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8629,,,,2024-01-09,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8629,,,,2024-01-09,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8630,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8630,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8630,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8631,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8631,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8631,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8632,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8632,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8632,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8633,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8635,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8635,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8635,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8635,,,,2024-01-09,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8639,,,,2024-01-05,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8639,,,,2024-01-05,,,,,,,,,,DREDURNT\CTRIREME,,,,,,,,,,,
8645,,,,2024-01-11,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8645,,,,2024-01-11,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8645,,,,2024-01-11,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8650,,,,2024-01-11,,,,,,,,,,DREDURNT\FINDAVDO,,,,,,,,,,,
8651,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRANABO,,,,,,,,,,,
8651,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRANABO,,,,,,,,,,,
8651,,,,2024-01-08,,,,,,,,,,DREDURNT\CTRANABO,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8652,,,,2024-01-02,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8701,,,,2024-01-05,,,,,,,,,,DREDURNT\CONSORRE,,,,,,,,,,,
8706,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRMONSA,,,,,,,,,,,
8706,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRMONSA,,,,,,,,,,,
8706,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRMONSA,,,,,,,,,,,
8706,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRMONSA,,,,,,,,,,,
8706,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRMONSA,,,,,,,,,,,
8711,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8711,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8711,,,,2024-01-15,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8713,,,,2024-01-16,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8713,,,,2024-01-16,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8713,,,,2024-01-16,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8714,,,,2024-01-16,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
8714,,,,2024-01-16,,,,,,,,,,DREDURNT\CTRJUAES,,,,,,,,,,,
