journal_entry_id,posting_date,prepared_by
252-024008,,aldo.spagnoli
252-024052,,aldo.spagnoli
252-103944,,aguilar
252-103955,,aguilar
252-104353,,aguilar
252-109336,,aguilar
252-109337,,
252-109338,,aguilar
252-109339,,aguilar
252-109372,,aguilar
252-109490,,aguilar
252-109491,,
252-109492,,aguilar
252-109493,,aguilar
252-109494,,aguilar
252-110590,,aguilar
252-110591,,aguilar
252-110592,,aguilar
252-110593,,aguilar
252-110594,,aguilar
252-110595,,aguilar
252-111093,,aguilar
252-111094,,
252-111095,,aguilar
252-111096,,aguilar
252-111097,,aguilar
252-111098,,aguilar
252-111099,,aguilar
252-111910,,aguilar
252-111911,,
252-111912,,aguilar
252-111913,,aguilar
252-111914,,aguilar
252-111915,,aguilar
252-111982,,aguilar
252-111983,,aguilar
252-111984,,aguilar
252-111985,,aguilar
252-111986,,aguilar
252-111987,,aguilar
252-117142,,aguilar
252-117143,,
252-117144,,aguilar
252-117145,,aguilar
252-117146,,aguilar
252-117147,,aguilar
252-117148,,aguilar
252-117149,,aguilar
252-117150,,aguilar
252-117151,,aguilar
252-117161,,aguilar
252-117173,,aguilar
252-117178,,aguilar
252-118806,,aguilar
252-118807,,aguilar
252-118808,,aguilar
252-118809,,aguilar
252-118810,,aguilar
252-118811,,aguilar
252-118812,,aguilar
252-118813,,aguilar
252-118814,,aguilar
252-118815,,aguilar
252-118819,,aguilar
252-118820,,aguilar
252-118821,,aguilar
252-118822,,aguilar
252-118823,,aguilar
252-118824,,aguilar
252-118825,,aguilar
252-118826,,aguilar
252-118827,,aguilar
252-118828,,aguilar
252-118832,,aguilar
252-118833,,aguilar
252-118834,,aguilar
252-118835,,aguilar
252-118836,,aguilar
252-118837,,aguilar
252-118838,,aguilar
252-118839,,aguilar
252-118840,,aguilar
252-118841,,aguilar
252-118845,,aguilar
252-118846,,aguilar
252-118847,,aguilar
252-118848,,aguilar
252-118849,,aguilar
252-118850,,aguilar
252-118851,,aguilar
252-118852,,aguilar
252-118853,,aguilar
252-118854,,aguilar
252-118858,,aguilar
252-118859,,aguilar
252-118860,,aguilar
252-118861,,aguilar
252-118862,,aguilar
252-118863,,aguilar
252-118864,,aguilar
252-118865,,aguilar
252-118866,,aguilar
252-118867,,aguilar
252-118900,,aguilar
252-118901,,aguilar
252-118902,,aguilar
252-118903,,aguilar
252-118904,,aguilar
252-118905,,aguilar
252-118906,,aguilar
252-118907,,aguilar
252-118908,,aguilar
252-118909,,aguilar
252-118913,,aguilar
252-118914,,aguilar
252-118915,,aguilar
252-118916,,aguilar
252-118917,,aguilar
252-118918,,aguilar
252-118919,,aguilar
252-118920,,aguilar
252-118921,,aguilar
252-118922,,aguilar
252-119050,,sergi.brualla
252-119051,,
252-119052,,sergi.brualla
252-119053,,sergi.brualla
252-119054,,sergi.brualla
252-119055,,sergi.brualla
252-119056,,sergi.brualla
252-119057,,sergi.brualla
252-119058,,sergi.brualla
252-119059,,sergi.brualla
252-119060,,sergi.brualla
252-119292,45293.0,elzhana.piperkova
252-119293,45293.0,elzhana.piperkova
252-119295,45293.0,erastus.waigwa-kinyu
252-119296,45293.0,erastus.waigwa-kinyu
252-119297,45293.0,erastus.waigwa-kinyu
252-119298,45293.0,erastus.waigwa-kinyu
252-119301,45294.0,elzhana.piperkova
252-119302,45293.0,erastus.waigwa-kinyu
252-119305,45294.0,erastus.waigwa-kinyu
252-119306,45294.0,erastus.waigwa-kinyu
252-119307,45294.0,erastus.waigwa-kinyu
252-119308,45294.0,erastus.waigwa-kinyu
252-119309,45294.0,erastus.waigwa-kinyu
252-119310,45294.0,erastus.waigwa-kinyu
252-119311,45294.0,erastus.waigwa-kinyu
252-119312,45294.0,erastus.waigwa-kinyu
252-119313,45294.0,erastus.waigwa-kinyu
252-119448,45295.0,elzhana.piperkova
252-119515,45292.0,paula.deglane
252-119516,45292.0,paula.deglane
252-119517,45292.0,paula.deglane
252-119518,45292.0,paula.deglane
252-119519,45292.0,paula.deglane
252-119520,45292.0,paula.deglane
252-119521,45292.0,paula.deglane
252-119522,45292.0,paula.deglane
252-119523,45292.0,paula.deglane
252-119524,45292.0,paula.deglane
252-119525,45292.0,paula.deglane
252-119526,45292.0,paula.deglane
252-119527,45292.0,paula.deglane
252-119528,45292.0,paula.deglane
252-119529,45292.0,paula.deglane
252-119530,45292.0,paula.deglane
252-119531,45292.0,paula.deglane
252-119532,45292.0,paula.deglane
252-119533,45292.0,paula.deglane
252-119534,45292.0,paula.deglane
252-119535,45292.0,paula.deglane
252-119536,45292.0,paula.deglane
252-119537,45292.0,paula.deglane
252-119538,45292.0,paula.deglane
252-119539,45292.0,paula.deglane
252-119540,45292.0,paula.deglane
252-119541,45292.0,paula.deglane
252-119542,45292.0,paula.deglane
252-119543,45292.0,paula.deglane
252-119544,45292.0,paula.deglane
252-119545,45292.0,paula.deglane
252-119546,45292.0,paula.deglane
252-119547,45292.0,paula.deglane
252-119548,45292.0,paula.deglane
252-119549,45292.0,paula.deglane
252-119550,45292.0,paula.deglane
252-119551,45292.0,paula.deglane
252-119552,45292.0,paula.deglane
252-119553,45292.0,paula.deglane
252-119554,45292.0,paula.deglane
252-119555,45292.0,paula.deglane
252-119556,45292.0,paula.deglane
252-119557,45292.0,paula.deglane
252-119558,45292.0,paula.deglane
252-119559,45292.0,paula.deglane
252-119560,45292.0,paula.deglane
252-119561,45292.0,paula.deglane
252-119562,45292.0,paula.deglane
252-119563,45292.0,paula.deglane
252-119564,45292.0,paula.deglane
252-119565,45292.0,paula.deglane
252-119566,45292.0,paula.deglane
252-119567,45292.0,paula.deglane
252-119568,45292.0,paula.deglane
252-119569,45292.0,paula.deglane
252-119570,45292.0,paula.deglane
252-119571,45292.0,paula.deglane
252-119572,45292.0,paula.deglane
252-119573,45292.0,paula.deglane
252-119574,45292.0,paula.deglane
252-119575,45292.0,paula.deglane
252-119576,45292.0,paula.deglane
252-119577,45292.0,paula.deglane
252-119578,45292.0,paula.deglane
252-119579,45292.0,paula.deglane
252-119580,45292.0,paula.deglane
252-119767,45292.0,paula.deglane
252-119768,45292.0,paula.deglane
252-119769,45292.0,paula.deglane
252-119770,45292.0,paula.deglane
252-119771,45292.0,paula.deglane
252-119772,45292.0,paula.deglane
252-119773,45292.0,paula.deglane
252-119774,45292.0,paula.deglane
252-119775,45292.0,paula.deglane
252-119776,45292.0,paula.deglane
252-119777,45292.0,paula.deglane
252-119778,45292.0,paula.deglane
252-119779,45292.0,paula.deglane
252-119780,45292.0,paula.deglane
252-119781,45292.0,paula.deglane
252-119782,45292.0,paula.deglane
252-119783,45292.0,paula.deglane
252-119784,45292.0,paula.deglane
252-119785,45292.0,paula.deglane
252-119786,45292.0,paula.deglane
252-119787,45292.0,paula.deglane
252-119788,45292.0,paula.deglane
252-119789,45292.0,paula.deglane
252-119790,45292.0,paula.deglane
252-119791,45292.0,paula.deglane
252-119792,45292.0,paula.deglane
252-119793,45292.0,paula.deglane
252-119794,45292.0,paula.deglane
252-119795,45292.0,paula.deglane
252-119796,45292.0,paula.deglane
252-119797,45292.0,paula.deglane
252-119798,45292.0,paula.deglane
252-119799,45292.0,paula.deglane
252-119800,45292.0,paula.deglane
252-119801,45292.0,paula.deglane
252-119802,45292.0,paula.deglane
252-119803,45292.0,paula.deglane
252-119804,45292.0,paula.deglane
252-119805,45292.0,paula.deglane
252-119806,45292.0,paula.deglane
252-119807,45292.0,paula.deglane
252-119808,45292.0,paula.deglane
252-119809,45292.0,paula.deglane
252-119810,45292.0,paula.deglane
252-119811,45292.0,paula.deglane
252-119812,45292.0,paula.deglane
252-119813,45292.0,paula.deglane
252-119814,45292.0,paula.deglane
252-119815,45292.0,paula.deglane
252-119816,45292.0,paula.deglane
252-119817,45292.0,paula.deglane
252-119818,45292.0,paula.deglane
252-119819,45292.0,paula.deglane
252-119820,45292.0,paula.deglane
252-119821,45292.0,paula.deglane
252-119822,45292.0,paula.deglane
252-119823,45292.0,paula.deglane
252-119824,45292.0,paula.deglane
252-119825,45292.0,paula.deglane
252-119826,45292.0,paula.deglane
252-119827,45292.0,paula.deglane
