journal_entry_id,posting_date,prepared_by
147,02/04/2024,Joanna Rodriguez Loaiza
148,02/04/2024,Joanna Rodriguez Loaiza
149,02/04/2024,Joanna Rodriguez Loaiza
150,02/04/2024,Joanna Rodriguez Loaiza
151,02/04/2024,Joanna Rodriguez Loaiza
152,02/04/2024,Joanna Rodriguez Loaiza
153,02/04/2024,Joanna Rodriguez Loaiza
154,02/04/2024,Joanna Rodriguez Loaiza
155,02/04/2024,Joanna Rodriguez Loaiza
156,02/04/2024,Joanna Rodriguez Loaiza
157,03/04/2024,Ignacio Corral Aragón
158,01/04/2024,Ignacio Corral Aragón
159,03/04/2024,Ignacio Corral Aragón
160,01/04/2024,Ignacio Corral Aragón
161,03/04/2024,Ignacio Corral Aragón
162,03/04/2024,Ignacio Corral Aragón
163,01/04/2024,Pablo Mayoral
164,01/04/2024,Ignacio Corral Aragón
165,01/04/2024,Ignacio Corral Aragón
166,01/04/2024,Ignacio Corral Aragón
167,02/04/2024,Ignacio Corral Aragón
168,01/04/2024,Ignacio Corral Aragón
169,01/04/2024,Ignacio Corral Aragón
170,04/04/2024,María José Ventero Rodriguez
171,01/04/2024,Ignacio Corral Aragón
172,02/04/2024,Ignacio Corral Aragón
173,01/04/2024,Ignacio Corral Aragón
174,01/04/2024,Ignacio Corral Aragón
175,03/04/2024,Pablo Mayoral
176,03/04/2024,Pablo Mayoral
177,03/04/2024,Pablo Mayoral
178,03/04/2024,Pablo Mayoral
179,03/04/2024,Pablo Mayoral
180,03/04/2024,Pablo Mayoral
181,03/04/2024,Pablo Mayoral
182,03/04/2024,Pablo Mayoral
183,03/04/2024,Pablo Mayoral
184,03/04/2024,Pablo Mayoral
185,03/04/2024,Pablo Mayoral
186,03/04/2024,Pablo Mayoral
187,03/04/2024,Pablo Mayoral
188,03/04/2024,Pablo Mayoral
189,03/04/2024,Pablo Mayoral
190,03/04/2024,Pablo Mayoral
191,03/04/2024,Pablo Mayoral
192,03/04/2024,Pablo Mayoral
193,03/04/2024,Pablo Mayoral
194,03/04/2024,Pablo Mayoral
195,03/04/2024,Pablo Mayoral
196,03/04/2024,Pablo Mayoral
197,03/04/2024,Pablo Mayoral
198,03/04/2024,Pablo Mayoral
199,03/04/2024,Pablo Mayoral
200,03/04/2024,Pablo Mayoral
201,03/04/2024,Pablo Mayoral
202,03/04/2024,Pablo Mayoral
