journal_entry_id,gl_account_number,debit_credit_indicator
100000634,641311,S
100000635,421000,H
100000635,641311,S
100000637,51120914,H
100000637,51120914,S
100000639,645218,S
100000639,645218,S
100000639,421000,H
100000639,421000,H
100000639,447300,H
100000639,641100,S
100000639,641100,S
100000639,421000,H
100000639,645160,S
100000639,431000,H
100000639,431000,H
100000639,641100,S
100000639,431000,H
100000639,641100,S
100000639,645160,S
100000639,645160,S
100000639,645218,S
100000639,645160,S
100000639,645160,S
100000639,645160,S
100000639,645218,S
100000639,641310,S
100000639,641310,S
100000639,641310,S
100000639,645160,S
100000639,645160,S
100000639,431000,H
100000639,641310,S
100000639,645160,S
100000640,645160,H
100000640,431000,S
100000640,431000,S
100000640,431000,S
100000640,645160,H
100000640,447300,S
100000640,641310,H
100000640,645218,H
100000640,645218,H
100000640,645218,H
100000640,641310,H
100000640,645160,H
100000640,645160,H
100000640,641100,H
100000640,641100,H
100000640,641100,H
100000640,641310,H
100000640,645218,H
100000640,641310,H
100000640,431000,S
100000640,421000,S
100000640,641100,H
100000640,645160,H
100000640,421000,S
100000640,645160,H
100000640,645160,H
100000640,645160,H
100000640,421000,S
100000640,645160,H
100000641,645160,S
100000641,645160,S
100000641,641100,S
100000641,645160,S
100000641,431000,H
100000641,645160,S
100000641,645218,S
100000641,645218,S
100000641,641100,S
100000641,645218,S
100000641,641100,S
100000641,431000,H
100000641,645160,S
100000641,645160,S
100000641,645160,S
100000641,645160,S
100000641,421000,H
100000641,421000,H
100000641,647600,S
100000641,641100,S
100000641,641100,S
100000641,641100,H
100000641,641100,S
100000641,641100,S
100000641,641100,S
100000641,431000,H
100000641,431000,H
100000641,645160,S
100000641,431000,H
100000641,431000,H
100000641,447300,H
100000641,645218,S
100000641,645160,S
100000641,645160,S
100000643,641321,S
100000643,421000,H
100000643,641321,S
100000643,641321,S
100000644,421000,H
100000644,641321,S
100000644,641321,S
100000644,641321,S
100000645,641321,H
100000645,641321,H
100000645,641321,H
100000645,421000,S
100000646,641321,H
100000646,641321,H
100000646,421000,S
100000646,641321,H
100000653,401100,S
100000653,411100,H
100000654,408101,H
100000654,604300,S
100000656,501998,S
100000656,411100,H
100000658,445602,H
100000658,445620,H
100000658,445310,S
100000658,445310,H
100000658,445310,S
100000660,625300,S
100000660,625300,S
100000660,625300,S
100000660,625714,S
100000660,423000,H
100000671,51120914,H
100000671,51120914,S
100000678,401100,S
100000678,401100,H
100000679,625300,S
100000679,625300,S
100000679,625714,S
100000679,625714,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625714,S
100000679,625714,S
100000679,623400,S
100000679,623400,S
100000679,623400,S
100000679,625714,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,625300,S
100000679,423000,H
100000679,625714,S
100000679,625714,S
100000679,625300,S
100000679,625300,S
100000679,625714,S
100000679,625711,S
100000683,51120914,H
100000683,51120914,S
100000684,707100,S
100000684,487000,H
100000685,487000,H
100000685,707100,S
100000686,707100,S
100000686,487000,H
100000687,707100,S
100000687,487000,H
100000688,613500,H
100000688,615400,S
100000689,615400,S
100000689,613500,H
100000690,613500,S
100000690,615400,H
100000691,613500,H
100000691,615400,S
100000692,408101,S
100000692,706542,H
100000693,411100,S
100000693,758300,H
100000696,628430,S
100000696,628430,H
100000697,707100,H
100000697,487010,S
100000701,641311,S
100000701,421000,H
100000702,421000,H
100000702,641311,S
100000702,641311,S
100000703,421000,H
100000703,641311,S
100000703,641311,S
100000704,421000,H
100000704,641311,S
100000705,641311,S
100000705,421000,H
100000705,641311,S
100000706,421000,H
100000706,641311,S
100000706,641311,S
100000707,641311,S
100000707,421000,H
100000708,421000,S
100000708,641311,H
100000709,641311,H
100000709,421000,S
100000709,641311,H
100000710,421000,S
100000710,641311,H
100000711,641311,H
100000711,421000,S
100000711,641311,H
100000712,641100,S
100000712,641100,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,647600,S
100000712,641100,S
100000712,641100,S
100000712,641100,S
100000712,421000,H
100000712,421000,H
100000712,641100,S
100000712,641100,S
100000712,641100,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,645160,S
100000712,641100,S
100000712,641100,S
100000712,431000,H
100000712,431000,H
100000712,647600,S
100000712,647600,S
100000712,647600,S
100000712,421000,H
100000712,421000,H
100000712,647600,S
100000712,421000,H
100000712,421000,H
100000712,641310,S
100000712,647600,S
100000712,645218,S
100000712,645218,S
100000712,645218,S
100000712,645218,S
100000712,431000,H
100000712,431000,H
100000712,431000,H
100000712,431000,H
100000712,447300,H
100000713,411100,H
100000713,401100,S
100000714,645160,H
100000714,645160,H
100000714,645160,H
100000714,641100,H
100000714,645160,H
100000714,641100,H
100000714,641100,H
100000714,641100,H
100000714,641100,H
100000714,641100,S
100000714,641100,H
100000714,641100,H
100000714,421000,S
100000714,421000,S
100000714,641100,H
100000714,645160,H
100000714,431000,S
100000714,431000,S
100000714,431000,S
100000714,431000,S
100000714,645218,H
100000714,645218,H
100000714,645218,H
100000714,645218,H
100000714,645160,H
100000714,645160,H
100000714,645160,H
100000714,645160,H
100000714,431000,S
100000714,447300,S
100000714,431000,S
100000714,647600,H
100000714,645160,H
100000714,645160,H
100000715,604300,H
100000715,408101,S
100000716,445630,S
100000716,445310,S
100000716,445630,H
100000716,445360,H
100000717,445602,H
100000717,445620,H
100000717,445310,S
100000717,445310,S
100000717,445500,S
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,681740,S
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000723,418100,H
100000724,658000,S
100000724,411100,H
100000729,491000,S
100000729,491000,S
100000729,491000,S
100000729,681740,H
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000730,681740,H
100000730,418100,S
100000730,418100,S
100000730,418100,S
100000731,681740,S
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000731,491000,H
100000732,625714,S
100000732,625714,S
100000732,423000,H
100000732,625300,S
100000732,625300,S
100000732,625300,S
100000732,625714,S
100000732,625714,S
100000732,625300,S
100000732,625300,S
100000732,625300,S
100000732,625300,S
100000733,647600,H
100000733,647600,H
100000733,647600,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,641100,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645160,H
100000733,645218,H
100000733,645218,H
100000733,645160,H
100000733,645218,H
100000733,645218,H
100000733,431000,S
100000733,431000,S
100000733,447300,S
100000733,431000,S
100000733,431000,S
100000733,431000,S
100000733,431000,S
100000733,421000,S
100000733,641310,H
100000733,647600,H
100000733,647600,H
100000733,647600,H
100000733,421000,S
100000733,421000,S
100000733,421000,S
100000733,421000,S
100000733,421000,S
100000734,408101,S
100000734,706542,H
100000738,401100,S
100000738,401400,H
100000738,401100,S
100000746,51120914,S
100000746,451B23,H
100000750,706542,S
100000750,408101,H
100000753,421000,H
100000753,641311,S
100000753,641311,S
100000754,421000,H
100000754,641311,S
100000754,641311,S
100000755,421000,H
100000755,641311,S
100000757,707100,H
100000757,487998,S
100000759,445602,H
100000759,445620,H
100000759,445500,S
100000759,445310,S
100000759,445310,S
100000760,645160,S
100000760,645160,S
100000760,645160,S
100000760,645160,S
100000760,645160,S
100000760,645160,S
100000760,641100,S
100000760,641100,S
100000760,641100,S
100000760,645160,S
100000760,421000,H
100000760,421000,H
100000760,647600,S
100000760,647600,S
100000760,647600,S
100000760,647600,S
100000760,421000,H
100000760,421000,H
100000760,641100,S
100000760,641100,S
100000760,645160,S
100000760,645160,S
100000760,647600,S
100000760,641100,S
100000760,447300,H
100000760,647600,S
100000760,645218,S
100000760,645218,S
100000760,431000,H
100000760,431000,H
100000760,431000,H
100000760,645218,S
100000760,647600,S
100000760,647600,S
100000760,641100,S
100000760,641100,S
100000760,645218,S
100000760,431000,H
100000763,401100,S
100000763,411100,H
100000764,615400,S
100000764,628430,S
100000764,408101,H
100000764,408101,H
100000764,408101,H
100000764,408101,H
100000764,607500,S
100000764,408101,H
100000764,408101,H
100000764,408101,H
100000764,604300,S
100000764,624500,S
100000764,647600,S
100000764,624600,S
100000765,408101,S
100000765,408101,S
100000765,408101,S
100000765,408101,S
100000765,408101,S
100000765,624600,H
100000765,647600,H
100000765,607500,H
100000765,604300,H
100000765,624500,H
100000765,615400,H
100000765,628430,H
100000765,408101,S
100000765,408101,S
100000766,624500,S
100000766,647600,S
100000766,408122,H
100000766,408122,H
100000766,408122,H
100000766,408122,H
100000766,408122,H
100000766,408122,H
100000766,604300,S
100000766,628430,S
100000766,706539,H
100000766,607500,S
100000766,615400,S
100000766,408122,H
100000766,408122,H
100000766,408122,S
100000766,624600,S
100000766,709600,S
100000767,647600,S
100000767,647600,S
100000767,647600,S
100000767,421000,H
100000767,647600,S
100000767,421000,H
100000767,421000,H
100000767,645160,S
100000767,645160,S
100000767,421000,H
100000767,421000,H
100000767,421000,H
100000767,645160,S
100000767,641100,S
100000767,641100,S
100000767,641100,S
100000767,431000,H
100000767,647600,S
100000767,431000,H
100000767,641310,S
100000767,447300,H
100000767,647600,S
100000767,431000,H
100000767,431000,H
100000767,431000,H
100000767,431000,H
100000767,645218,S
100000767,641100,S
100000767,645218,S
100000767,645218,S
100000767,641100,S
100000767,641100,S
100000767,641100,S
100000767,641100,S
100000767,645160,S
100000767,645160,S
100000767,645160,S
100000767,645160,S
100000767,645160,S
100000767,645160,S
100000767,641100,S
100000767,641100,S
100000767,645160,S
100000767,645160,S
100000767,645218,S
100000768,645160,S
100000768,645160,S
100000768,421000,H
100000768,645218,S
100000768,641100,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,645160,S
100000768,431000,H
100000768,431000,H
100000768,647600,S
100000768,421000,H
100000768,431000,H
100000768,641100,S
100000768,641100,S
100000768,641100,H
100000768,641100,S
100000768,645218,S
100000768,645218,S
100000768,645218,S
100000768,431000,H
100000768,431000,H
100000768,447300,H
100000768,431000,H
100000768,641100,S
100000768,641100,S
100000768,641100,S
100000768,641100,S
100000769,51120914,S
100000769,51120914,H
100000769,51120914,H
100000770,431000,S
100000770,431000,S
100000770,447300,S
100000770,431000,S
100000770,647600,H
100000770,647600,H
100000770,431000,S
100000770,641100,H
100000770,641100,H
100000770,641100,H
100000770,647600,H
100000770,647600,H
100000770,645218,H
100000770,645218,H
100000770,641100,H
100000770,645160,H
100000770,645160,H
100000770,421000,S
100000770,421000,S
100000770,421000,S
100000770,421000,S
100000770,647600,H
100000770,647600,H
100000770,645160,H
100000770,645160,H
100000770,645160,H
100000770,645160,H
100000770,645160,H
100000770,645160,H
100000770,645160,H
100000770,647600,H
100000770,647600,H
100000770,645218,H
100000770,645218,H
100000770,641100,H
100000770,641100,H
100000770,641100,H
100000770,641100,H
100000771,645160,S
100000771,645160,S
100000771,645160,S
100000771,645160,S
100000771,645160,S
100000771,645160,S
100000771,421000,H
100000771,421000,H
100000771,645160,S
100000771,645160,S
100000771,645160,S
100000771,431000,H
100000771,447300,H
100000771,431000,H
100000771,431000,H
100000771,421000,H
100000771,641100,S
100000771,645218,S
100000771,645218,S
100000771,645218,S
100000771,431000,H
100000771,641100,S
100000771,641100,S
100000771,641100,S
100000771,645218,S
100000771,647600,S
100000771,647600,S
100000771,647600,S
100000771,647600,S
100000776,641100,H
100000776,645160,H
100000776,645160,H
100000776,645160,H
100000776,645160,H
100000776,421000,S
100000776,645160,H
100000776,645160,H
100000776,645160,H
100000776,431000,S
100000776,645160,H
100000776,647600,H
100000776,647600,H
100000776,647600,H
100000776,647600,H
100000776,647600,H
100000776,431000,S
100000776,431000,S
100000776,447300,S
100000776,421000,S
100000776,645160,H
100000776,645160,H
100000776,645160,H
100000776,421000,S
100000776,421000,S
100000776,641100,H
100000776,641100,H
100000776,641100,H
100000776,421000,S
100000776,421000,S
100000776,641100,H
100000776,641100,H
100000776,641310,H
100000776,641100,H
100000776,641100,H
100000776,431000,S
100000776,431000,S
100000776,431000,S
100000776,641100,H
100000776,645218,H
100000776,645218,H
100000776,645218,H
100000776,645218,H
100000776,641100,H
100000776,647600,H
100000777,645160,S
100000777,645160,S
100000777,647600,S
100000777,647600,S
100000777,447300,H
100000777,641100,S
100000777,645160,S
100000777,645160,S
100000777,645160,S
100000777,421000,H
100000777,645160,S
100000777,645160,S
100000777,645160,S
100000777,645160,S
100000777,421000,H
100000777,641100,S
100000777,647600,S
100000777,647600,S
100000777,641100,S
100000777,645218,S
100000777,647600,S
100000777,647600,S
100000777,431000,H
100000777,431000,H
100000777,431000,H
100000777,431000,H
100000777,431000,H
100000777,645218,S
100000777,645218,S
100000777,645218,S
100000777,431000,H
100000777,641310,S
100000777,421000,H
100000777,645160,S
100000777,645160,S
100000777,421000,H
100000777,421000,H
100000777,421000,H
100000777,641100,S
100000777,641100,S
100000777,641100,S
100000777,641100,S
100000777,641100,S
100000777,641100,S
100000777,641100,S
100000778,431000,H
100000778,431000,H
100000778,431000,S
100000778,431000,H
100000778,431000,H
100000779,447300,H
100000779,447300,S
100000779,447300,H
100000779,447300,H
100000779,447300,H
100000780,625700,S
100000780,423000,H
100000781,647600,H
100000781,421000,S
100000781,421000,S
100000781,421000,S
100000781,421000,S
100000781,641100,H
100000781,647600,H
100000781,647600,H
100000781,647600,H
100000782,645160,H
100000782,431000,S
100000782,645160,H
100000782,431000,S
100000782,641100,S
100000782,647600,H
100000783,641321,H
100000783,641321,H
100000783,641321,H
100000783,641321,H
100000783,641321,H
100000783,421000,S
100000784,641321,S
100000784,421000,H
100000784,641321,S
100000784,641321,S
100000784,641321,S
100000784,641321,S
100000785,625714,S
100000785,423000,H
100000785,625300,S
100000785,625714,S
100000785,625300,S
100000785,625300,S
100000785,625300,S
100000785,625300,S
100000792,706542,H
100000792,408101,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,408122,S
100000793,615400,H
100000793,607500,H
100000793,604300,H
100000793,628430,H
100000793,706539,S
100000793,624600,H
100000793,624500,H
100000793,408122,H
100000793,647600,H
100000793,709600,H
100000812,401100,S
100000812,641100,H
100000814,641100,H
100000814,401100,S
100000815,401100,S
100000815,641100,H
100000828,445630,H
100000828,445710,H
100000828,445710,S
100000828,445710,S
100000829,445620,H
100000829,445500,S
100000829,445602,H
100000829,445310,S
100000829,445310,S
100000830,706542,S
100000830,408101,H
100000831,421000,H
100000831,641311,S
100000831,641311,S
100000832,641311,S
100000832,641311,S
100000832,421000,H
100000833,421000,H
100000833,641311,S
100000834,615400,S
100000834,613500,H
100000835,411100,H
100000835,401100,S
100000836,51120914,S
100000836,51120914,H
100000837,431000,H
100000837,431000,H
100000837,431000,H
100000837,431000,H
100000837,645218,S
100000837,645160,S
100000837,645160,S
100000837,645160,S
100000837,645160,S
100000837,431000,H
100000837,431000,H
100000837,431000,H
100000837,645160,S
100000837,645160,S
100000837,645160,S
100000837,421000,H
100000837,645160,S
100000837,645160,S
100000837,645218,S
100000837,645218,S
100000837,447300,H
100000837,447300,H
100000837,641100,S
100000837,421000,H
100000837,641100,S
100000837,641100,S
100000837,641100,S
100000837,641100,S
100000837,641100,S
100000837,431000,H
100000837,447300,H
100000837,447300,H
100000837,447300,H
100000838,641321,S
100000838,421000,H
100000838,641321,S
100000839,421000,H
100000839,641321,S
100000839,641321,S
100000839,641321,S
100000845,51120914,S
100000845,51120914,H
100000849,625714,S
100000849,423000,H
100000850,423000,H
100000850,625300,S
100000851,625300,S
100000851,625300,S
100000851,625300,S
100000851,625300,S
100000851,625300,S
100000851,625714,S
100000851,423000,H
100000855,408101,S
100000855,706542,H
100000861,625300,S
100000861,625300,S
100000861,625300,S
100000861,625300,S
100000861,423000,H
100000861,625300,S
100000861,625714,S
100000861,625714,S
100000861,625300,S
100000862,423000,H
100000862,625714,S
100000862,625714,S
100000862,625714,S
100000862,625714,S
100000862,625300,S
100000862,625300,S
100000862,625300,S
100000862,625300,S
100000863,656000,S
100000863,401450,H
100000865,501998,S
100000865,401100,H
100000868,501998,S
100000868,501998,S
100000868,501998,S
100000868,411100,H
100000868,501998,S
100000870,421000,H
100000870,641311,S
100000870,641311,S
100000871,641311,H
100000871,421000,S
100000872,421000,H
100000872,641311,S
100000872,641311,S
100000873,641311,S
100000873,421000,H
100000874,707100,S
100000874,487000,H
100000875,411100,H
100000875,401100,S
100000876,408101,H
100000876,706542,S
100000877,447300,H
100000877,447300,H
100000877,645218,S
100000877,645218,S
100000877,645218,S
100000877,645218,S
100000877,641100,S
100000877,641100,S
100000877,641100,S
100000877,641100,S
100000877,641100,S
100000877,421000,H
100000877,641100,S
100000877,645160,S
100000877,645160,S
100000877,645160,S
100000877,645160,S
