journal_entry_id,fiscal_year,period_number,prepared_by,entry_date
100000633,2024,5,W191062,23/05/2024
100000634,2024,5,W191062,23/05/2024
100000635,2024,5,W191062,23/05/2024
100000637,2024,5,EXPLOIT$U,25/05/2024
100000639,2024,5,W191062,25/05/2024
100000640,2024,5,W191062,25/05/2024
100000641,2024,5,W191062,25/05/2024
100000643,2024,5,W191062,26/05/2024
100000644,2024,5,W191062,26/05/2024
100000645,2024,5,W191062,26/05/2024
100000646,2024,5,W191062,26/05/2024
100000653,2024,5,W106467,28/05/2024
100000654,2024,5,W191062,28/05/2024
100000656,2024,5,W111037,29/05/2024
100000658,2024,5,W191062,31/05/2024
100000660,2024,6,W122814,03/06/2024
100000671,2024,6,EXPLOIT$U,08/06/2024
100000678,2024,6,W106467,13/06/2024
100000679,2024,6,W122814,13/06/2024
100000683,2024,6,W191062,17/06/2024
100000684,2024,6,W191062,18/06/2024
100000685,2024,6,W191062,18/06/2024
100000686,2024,6,W191062,18/06/2024
100000687,2024,6,W191062,18/06/2024
100000688,2024,6,W191062,18/06/2024
100000689,2024,6,W191062,18/06/2024
100000690,2024,6,W191062,18/06/2024
100000691,2024,6,W191062,18/06/2024
100000692,2024,6,W191062,19/06/2024
100000693,2024,6,W139415,20/06/2024
100000696,2024,6,W191062,23/06/2024
100000697,2024,6,W191062,23/06/2024
100000701,2024,6,W191062,26/06/2024
100000702,2024,6,W191062,26/06/2024
100000703,2024,6,W191062,26/06/2024
100000704,2024,6,W191062,26/06/2024
100000705,2024,6,W191062,26/06/2024
100000706,2024,6,W191062,26/06/2024
100000707,2024,6,W191062,26/06/2024
100000708,2024,6,W191062,26/06/2024
100000709,2024,6,W191062,26/06/2024
100000710,2024,6,W191062,26/06/2024
100000711,2024,6,W191062,26/06/2024
100000712,2024,6,W191062,26/06/2024
100000713,2024,6,W106467,27/06/2024
100000714,2024,6,W191062,27/06/2024
100000715,2024,6,W191062,27/06/2024
100000716,2024,6,W191062,27/06/2024
100000717,2024,6,W191062,27/06/2024
100000723,2024,6,W111037,01/07/2024
100000724,2024,7,W139415,02/07/2024
100000729,2024,6,W111037,04/07/2024
100000730,2024,6,W111037,04/07/2024
100000731,2024,6,W111037,04/07/2024
100000732,2024,7,W122814,09/07/2024
100000733,2024,7,W191062,09/07/2024
100000734,2024,7,W191062,09/07/2024
100000738,2024,7,W106467,10/07/2024
100000746,2024,7,W191062,15/07/2024
100000750,2024,7,W191062,18/07/2024
100000753,2024,7,W191062,23/07/2024
100000754,2024,7,W191062,23/07/2024
100000755,2024,7,W191062,23/07/2024
100000757,2024,7,W191062,25/07/2024
100000759,2024,7,W191062,27/07/2024
100000760,2024,7,W191062,27/07/2024
100000763,2024,7,W106467,29/07/2024
