journal_entry_id,posting_date,fiscal_year,prepared_by,description
100708858.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708859.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708860.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708861.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708862.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708863.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708864.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708865.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708866.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708867.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708868.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708869.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708870.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708871.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708872.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708873.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708874.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708875.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708876.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708877.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708878.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708879.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708880.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708881.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708882.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708883.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708884.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708885.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708886.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708887.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708888.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708889.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708890.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708891.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708892.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708893.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708894.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708895.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708896.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708897.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708898.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708899.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
100708900.0,01.03.2024,2024.0,FI_BATCH_US,Export VAT
100708901.0,01.03.2024,2024.0,FI_BATCH_US,Import VAT
